[2026-08-19 22:15:54] [SUCCESS] 2013: 19/08/2026 10:15:48 CH: Tổng record đã thêm: 755 | TABLE: CD43_KHACH_HANG_SANG_LOC_NUOC_TIEU | CITY_CODE: ALL | MADUAN:CD43
[2026-08-19 22:17:40] [SUCCESS] 2013: 19/08/2026 10:17:39 CH: Tổng record đã thêm: 755 | TABLE: CD43_KHACH_HANG_SANG_LOC_NUOC_TIEU | CITY_CODE: ALL | MADUAN:CD43
[2026-08-19 22:19:40] [SUCCESS] 2013: 19/08/2026 10:19:39 CH: Tổng record đã thêm: 755 | TABLE: CD43_KHACH_HANG_SANG_LOC_NUOC_TIEU | CITY_CODE: ALL | MADUAN:CD43
[2026-08-19 22:21:44] [SUCCESS] 2013: 19/08/2026 10:21:42 CH: Tổng record đã thêm: 755 | TABLE: CD43_KHACH_HANG_SANG_LOC_NUOC_TIEU | CITY_CODE: ALL | MADUAN:CD43
[2026-08-19 22:23:40] [SUCCESS] 2013: 19/08/2026 10:23:39 CH: Tổng record đã thêm: 755 | TABLE: CD43_KHACH_HANG_SANG_LOC_NUOC_TIEU | CITY_CODE: ALL | MADUAN:CD43
[2026-08-19 22:25:40] [SUCCESS] 2013: 19/08/2026 10:25:39 CH: Tổng record đã thêm: 755 | TABLE: CD43_KHACH_HANG_SANG_LOC_NUOC_TIEU | CITY_CODE: ALL | MADUAN:CD43
[2026-08-19 22:35:35] [SUCCESS] 2013: 19/08/2026 10:35:33 CH: Tổng record đã thêm: 755 | TABLE: CD43_KHACH_HANG_SANG_LOC_NUOC_TIEU | CITY_CODE: ALL | MADUAN:CD43
[2026-08-19 22:37:27] [SUCCESS] 2013: 19/08/2026 10:37:25 CH: Tổng record đã thêm: 755 | TABLE: CD43_KHACH_HANG_SANG_LOC_NUOC_TIEU | CITY_CODE: ALL | MADUAN:CD43
[2026-08-19 22:39:27] [SUCCESS] 2013: 19/08/2026 10:39:25 CH: Tổng record đã thêm: 755 | TABLE: CD43_KHACH_HANG_SANG_LOC_NUOC_TIEU | CITY_CODE: ALL | MADUAN:CD43
[2026-08-19 22:41:27] [SUCCESS] 2013: 19/08/2026 10:41:25 CH: Tổng record đã thêm: 755 | TABLE: CD43_KHACH_HANG_SANG_LOC_NUOC_TIEU | CITY_CODE: ALL | MADUAN:CD43
[2026-08-19 22:43:27] [SUCCESS] 2013: 19/08/2026 10:43:25 CH: Tổng record đã thêm: 755 | TABLE: CD43_KHACH_HANG_SANG_LOC_NUOC_TIEU | CITY_CODE: ALL | MADUAN:CD43
[2026-08-19 22:45:27] [SUCCESS] 2013: 19/08/2026 10:45:25 CH: Tổng record đã thêm: 755 | TABLE: CD43_KHACH_HANG_SANG_LOC_NUOC_TIEU | CITY_CODE: ALL | MADUAN:CD43
[2026-08-19 22:47:27] [SUCCESS] 2013: 19/08/2026 10:47:26 CH: Tổng record đã thêm: 755 | TABLE: CD43_KHACH_HANG_SANG_LOC_NUOC_TIEU | CITY_CODE: ALL | MADUAN:CD43
[2026-08-19 22:49:27] [SUCCESS] 2013: 19/08/2026 10:49:25 CH: Tổng record đã thêm: 755 | TABLE: CD43_KHACH_HANG_SANG_LOC_NUOC_TIEU | CITY_CODE: ALL | MADUAN:CD43
[2026-08-19 22:51:27] [SUCCESS] 2013: 19/08/2026 10:51:25 CH: Tổng record đã thêm: 755 | TABLE: CD43_KHACH_HANG_SANG_LOC_NUOC_TIEU | CITY_CODE: ALL | MADUAN:CD43
[2026-08-19 22:53:27] [SUCCESS] 2013: 19/08/2026 10:53:25 CH: Tổng record đã thêm: 755 | TABLE: CD43_KHACH_HANG_SANG_LOC_NUOC_TIEU | CITY_CODE: ALL | MADUAN:CD43
[2026-08-19 22:55:13] [SUCCESS] 2013: 19/08/2026 10:55:11 CH: Tổng record đã thêm: 755 | TABLE: CD43_KHACH_HANG_SANG_LOC_NUOC_TIEU | CITY_CODE: ALL | MADUAN:CD43
[2026-08-19 22:57:04] [SUCCESS] 2013: 19/08/2026 10:57:02 CH: Tổng record đã thêm: 755 | TABLE: CD43_KHACH_HANG_SANG_LOC_NUOC_TIEU | CITY_CODE: ALL | MADUAN:CD43
[2026-08-19 22:59:04] [SUCCESS] 2013: 19/08/2026 10:59:02 CH: Tổng record đã thêm: 755 | TABLE: CD43_KHACH_HANG_SANG_LOC_NUOC_TIEU | CITY_CODE: ALL | MADUAN:CD43
[2026-08-19 23:01:25] [SUCCESS] 2013: 19/08/2026 11:01:02 CH: Tổng record đã thêm: 755 | TABLE: CD43_KHACH_HANG_SANG_LOC_NUOC_TIEU | CITY_CODE: ALL | MADUAN:CD43
[2026-08-19 23:03:04] [SUCCESS] 2013: 19/08/2026 11:03:02 CH: Tổng record đã thêm: 755 | TABLE: CD43_KHACH_HANG_SANG_LOC_NUOC_TIEU | CITY_CODE: ALL | MADUAN:CD43
[2026-08-19 23:05:04] [SUCCESS] 2013: 19/08/2026 11:05:03 CH: Tổng record đã thêm: 755 | TABLE: CD43_KHACH_HANG_SANG_LOC_NUOC_TIEU | CITY_CODE: ALL | MADUAN:CD43
[2026-08-19 23:07:04] [SUCCESS] 2013: 19/08/2026 11:07:02 CH: Tổng record đã thêm: 755 | TABLE: CD43_KHACH_HANG_SANG_LOC_NUOC_TIEU | CITY_CODE: ALL | MADUAN:CD43
[2026-08-19 23:09:04] [SUCCESS] 2013: 19/08/2026 11:09:02 CH: Tổng record đã thêm: 755 | TABLE: CD43_KHACH_HANG_SANG_LOC_NUOC_TIEU | CITY_CODE: ALL | MADUAN:CD43
[2026-08-19 23:11:04] [SUCCESS] 2013: 19/08/2026 11:11:02 CH: Tổng record đã thêm: 755 | TABLE: CD43_KHACH_HANG_SANG_LOC_NUOC_TIEU | CITY_CODE: ALL | MADUAN:CD43
[2026-08-19 23:13:04] [SUCCESS] 2013: 19/08/2026 11:13:02 CH: Tổng record đã thêm: 755 | TABLE: CD43_KHACH_HANG_SANG_LOC_NUOC_TIEU | CITY_CODE: ALL | MADUAN:CD43
[2026-08-19 23:15:04] [SUCCESS] 2013: 19/08/2026 11:15:02 CH: Tổng record đã thêm: 755 | TABLE: CD43_KHACH_HANG_SANG_LOC_NUOC_TIEU | CITY_CODE: ALL | MADUAN:CD43
[2026-08-19 23:17:25] [SUCCESS] 2013: 19/08/2026 11:17:02 CH: Tổng record đã thêm: 755 | TABLE: CD43_KHACH_HANG_SANG_LOC_NUOC_TIEU | CITY_CODE: ALL | MADUAN:CD43
[2026-08-19 23:19:04] [SUCCESS] 2013: 19/08/2026 11:19:02 CH: Tổng record đã thêm: 755 | TABLE: CD43_KHACH_HANG_SANG_LOC_NUOC_TIEU | CITY_CODE: ALL | MADUAN:CD43
[2026-08-19 23:21:04] [SUCCESS] 2013: 19/08/2026 11:21:02 CH: Tổng record đã thêm: 755 | TABLE: CD43_KHACH_HANG_SANG_LOC_NUOC_TIEU | CITY_CODE: ALL | MADUAN:CD43
[2026-08-19 23:23:25] [SUCCESS] 2013: 19/08/2026 11:23:02 CH: Tổng record đã thêm: 755 | TABLE: CD43_KHACH_HANG_SANG_LOC_NUOC_TIEU | CITY_CODE: ALL | MADUAN:CD43
[2026-08-19 23:25:05] [SUCCESS] 2013: 19/08/2026 11:25:04 CH: Tổng record đã thêm: 755 | TABLE: CD43_KHACH_HANG_SANG_LOC_NUOC_TIEU | CITY_CODE: ALL | MADUAN:CD43
[2026-08-19 23:28:53] [SUCCESS] 2013: 19/08/2026 11:28:51 CH: Tổng record đã thêm: 755 | TABLE: CD43_KHACH_HANG_SANG_LOC_NUOC_TIEU | CITY_CODE: ALL | MADUAN:CD43
[2026-08-19 23:30:43] [SUCCESS] 2013: 19/08/2026 11:30:42 CH: Tổng record đã thêm: 755 | TABLE: CD43_KHACH_HANG_SANG_LOC_NUOC_TIEU | CITY_CODE: ALL | MADUAN:CD43
[2026-08-19 23:32:45] [SUCCESS] 2013: 19/08/2026 11:32:43 CH: Tổng record đã thêm: 755 | TABLE: CD43_KHACH_HANG_SANG_LOC_NUOC_TIEU | CITY_CODE: ALL | MADUAN:CD43
[2026-08-19 23:35:04] [SUCCESS] 2013: 19/08/2026 11:34:42 CH: Tổng record đã thêm: 755 | TABLE: CD43_KHACH_HANG_SANG_LOC_NUOC_TIEU | CITY_CODE: ALL | MADUAN:CD43
[2026-08-19 23:36:43] [SUCCESS] 2013: 19/08/2026 11:36:42 CH: Tổng record đã thêm: 755 | TABLE: CD43_KHACH_HANG_SANG_LOC_NUOC_TIEU | CITY_CODE: ALL | MADUAN:CD43
[2026-08-19 23:38:43] [SUCCESS] 2013: 19/08/2026 11:38:42 CH: Tổng record đã thêm: 755 | TABLE: CD43_KHACH_HANG_SANG_LOC_NUOC_TIEU | CITY_CODE: ALL | MADUAN:CD43
[2026-08-19 23:40:43] [SUCCESS] 2013: 19/08/2026 11:40:42 CH: Tổng record đã thêm: 755 | TABLE: CD43_KHACH_HANG_SANG_LOC_NUOC_TIEU | CITY_CODE: ALL | MADUAN:CD43
[2026-08-19 23:42:50] [SUCCESS] 2013: 19/08/2026 11:42:42 CH: Tổng record đã thêm: 755 | TABLE: CD43_KHACH_HANG_SANG_LOC_NUOC_TIEU | CITY_CODE: ALL | MADUAN:CD43
[2026-08-19 23:45:04] [SUCCESS] 2013: 19/08/2026 11:44:42 CH: Tổng record đã thêm: 755 | TABLE: CD43_KHACH_HANG_SANG_LOC_NUOC_TIEU | CITY_CODE: ALL | MADUAN:CD43
[2026-08-19 23:46:43] [SUCCESS] 2013: 19/08/2026 11:46:42 CH: Tổng record đã thêm: 755 | TABLE: CD43_KHACH_HANG_SANG_LOC_NUOC_TIEU | CITY_CODE: ALL | MADUAN:CD43
[2026-08-19 23:48:43] [SUCCESS] 2013: 19/08/2026 11:48:42 CH: Tổng record đã thêm: 755 | TABLE: CD43_KHACH_HANG_SANG_LOC_NUOC_TIEU | CITY_CODE: ALL | MADUAN:CD43
[2026-08-19 23:50:43] [SUCCESS] 2013: 19/08/2026 11:50:42 CH: Tổng record đã thêm: 755 | TABLE: CD43_KHACH_HANG_SANG_LOC_NUOC_TIEU | CITY_CODE: ALL | MADUAN:CD43
[2026-08-19 23:52:43] [SUCCESS] 2013: 19/08/2026 11:52:42 CH: Tổng record đã thêm: 755 | TABLE: CD43_KHACH_HANG_SANG_LOC_NUOC_TIEU | CITY_CODE: ALL | MADUAN:CD43
[2026-08-19 23:54:45] [SUCCESS] 2013: 19/08/2026 11:54:43 CH: Tổng record đã thêm: 755 | TABLE: CD43_KHACH_HANG_SANG_LOC_NUOC_TIEU | CITY_CODE: ALL | MADUAN:CD43
[2026-08-19 23:57:04] [SUCCESS] 2013: 19/08/2026 11:56:42 CH: Tổng record đã thêm: 755 | TABLE: CD43_KHACH_HANG_SANG_LOC_NUOC_TIEU | CITY_CODE: ALL | MADUAN:CD43
[2026-08-19 23:58:43] [SUCCESS] 2013: 19/08/2026 11:58:42 CH: Tổng record đã thêm: 755 | TABLE: CD43_KHACH_HANG_SANG_LOC_NUOC_TIEU | CITY_CODE: ALL | MADUAN:CD43
