[2026-08-20 00:01:04] [SUCCESS] 2013: 20/08/2026 12:00:42 SA: Tổng record đã thêm: 755 | TABLE: CD43_KHACH_HANG_SANG_LOC_NUOC_TIEU | CITY_CODE: ALL | MADUAN:CD43
[2026-08-20 00:03:07] [SUCCESS] 2013: 20/08/2026 12:02:45 SA: Tổng record đã thêm: 755 | TABLE: CD43_KHACH_HANG_SANG_LOC_NUOC_TIEU | CITY_CODE: ALL | MADUAN:CD43
[2026-08-20 00:04:43] [SUCCESS] 2013: 20/08/2026 12:04:42 SA: Tổng record đã thêm: 755 | TABLE: CD43_KHACH_HANG_SANG_LOC_NUOC_TIEU | CITY_CODE: ALL | MADUAN:CD43
[2026-08-20 00:06:43] [SUCCESS] 2013: 20/08/2026 12:06:42 SA: Tổng record đã thêm: 755 | TABLE: CD43_KHACH_HANG_SANG_LOC_NUOC_TIEU | CITY_CODE: ALL | MADUAN:CD43
[2026-08-20 00:08:43] [SUCCESS] 2013: 20/08/2026 12:08:42 SA: Tổng record đã thêm: 755 | TABLE: CD43_KHACH_HANG_SANG_LOC_NUOC_TIEU | CITY_CODE: ALL | MADUAN:CD43
[2026-08-20 00:10:43] [SUCCESS] 2013: 20/08/2026 12:10:42 SA: Tổng record đã thêm: 755 | TABLE: CD43_KHACH_HANG_SANG_LOC_NUOC_TIEU | CITY_CODE: ALL | MADUAN:CD43
[2026-08-20 00:12:43] [SUCCESS] 2013: 20/08/2026 12:12:42 SA: Tổng record đã thêm: 755 | TABLE: CD43_KHACH_HANG_SANG_LOC_NUOC_TIEU | CITY_CODE: ALL | MADUAN:CD43
[2026-08-20 00:14:43] [SUCCESS] 2013: 20/08/2026 12:14:42 SA: Tổng record đã thêm: 755 | TABLE: CD43_KHACH_HANG_SANG_LOC_NUOC_TIEU | CITY_CODE: ALL | MADUAN:CD43
[2026-08-20 00:16:43] [SUCCESS] 2013: 20/08/2026 12:16:42 SA: Tổng record đã thêm: 755 | TABLE: CD43_KHACH_HANG_SANG_LOC_NUOC_TIEU | CITY_CODE: ALL | MADUAN:CD43
[2026-08-20 00:19:04] [SUCCESS] 2013: 20/08/2026 12:18:42 SA: Tổng record đã thêm: 755 | TABLE: CD43_KHACH_HANG_SANG_LOC_NUOC_TIEU | CITY_CODE: ALL | MADUAN:CD43
[2026-08-20 00:20:43] [SUCCESS] 2013: 20/08/2026 12:20:42 SA: Tổng record đã thêm: 755 | TABLE: CD43_KHACH_HANG_SANG_LOC_NUOC_TIEU | CITY_CODE: ALL | MADUAN:CD43
[2026-08-20 00:23:04] [SUCCESS] 2013: 20/08/2026 12:22:42 SA: Tổng record đã thêm: 755 | TABLE: CD43_KHACH_HANG_SANG_LOC_NUOC_TIEU | CITY_CODE: ALL | MADUAN:CD43
[2026-08-20 00:24:43] [SUCCESS] 2013: 20/08/2026 12:24:42 SA: Tổng record đã thêm: 755 | TABLE: CD43_KHACH_HANG_SANG_LOC_NUOC_TIEU | CITY_CODE: ALL | MADUAN:CD43
[2026-08-20 00:26:43] [SUCCESS] 2013: 20/08/2026 12:26:42 SA: Tổng record đã thêm: 755 | TABLE: CD43_KHACH_HANG_SANG_LOC_NUOC_TIEU | CITY_CODE: ALL | MADUAN:CD43
