T?nh,Nhóm,Mã khách hàng
H? Chí Minh,Myhands,DHC050001-DHC05xxxx
H? Chí Minh,The Gate,DHC060001-DHC06xxxx
H? Chí Minh,Alocare,DHC070001-DHC07xxxx
H? Chí Minh,G3VN,DHC080001-DHC08xxxx
Hà N?i,The Times,DHN010001-DHN01xxxx
Hà N?i,V? Nhà,DHN020001-DHN02xxxx
Hà N?i,It's T Time,DHN040001-DHN04xxxx
H?i Phòng,H?i ??ng,DHP090001-DHP09xxxx
H?i Phòng,Vòng Tay Bè B?n,DHP100001-DHP10xxxx
H?i Phòng,Hoa Sen,DHP110001-DHP11xxxx
H?i Phòng,Cát Tr?ng,DHP120001-DHP12xxxx
H?i Phòng,Bình Minh,DHP130001-DHP13xxxx
H?i Phòng,Hoa Trinh N?,DHP140001-DHP14xxxx
H?ng Yên,Liên minh h?nh phúc,DHY230001-DHY23xxxx
Ngh? An,Sao Va,DNA180001-DNA18xxxx
Ngh? An,Ánh d??ng,DNA190001-DNA19xxxx
Ngh? An,Liên minh MSM,DNA200001-D2014xxxx
Ngh? An,Qu?nh h??ng xanh,DNA210001-DNA21xxxx
Ngh? An,Hoa n?ng,DNA220001-DNA22xxxx
Ninh Bình,Gió M?i,DNB150001-DNB15xxxx
Ninh Bình,Tr?ng Khuy?t 35,DNB160001-DNB16xxxx
Ninh Bình,Hy V?ng 35,DNB170001-DNB17xxxx
